5,2,106,58,0.0,0.25
12,5,96,94,0.0,0.5
5,2,106,60,0.25,0.25
5,2,106,63,0.5,0.25
5,2,106,60,0.75,0.25
12,5,96,96,1.0,0.5
5,2,106,58,1.25,0.25
5,2,106,63,1.5,0.25
5,2,106,67,1.75,0.25
5,2,106,70,2.0,0.25
12,5,96,99,2.0,0.5
5,2,106,70,2.25,0.25
5,2,106,70,2.5,0.25
5,2,106,70,2.75,0.5
12,5,96,103,3.0,0.5
5,2,106,72,3.25,0.125
5,2,106,70,3.375,0.125
5,2,106,67,3.5,0.25
5,2,106,63,3.75,0.25
5,2,106,67,4.0,0.25
6,10,9,44,4.0,0.125
6,10,9,35,4.0,0.125
12,5,96,106,4.0,0.5
6,10,9,44,4.125,0.125
5,2,106,65,4.25,0.125
6,10,9,44,4.25,0.125
6,10,9,35,4.25,0.125
5,2,106,65,4.375,0.125
6,10,9,44,4.375,0.125
5,2,106,63,4.5,0.25
6,10,9,55,4.5,0.25
6,10,9,44,4.5,0.25
6,10,9,38,4.5,0.125
5,2,106,60,4.75,0.25
6,10,9,44,4.75,0.125
6,10,9,35,4.75,0.125
6,10,9,55,4.875,0.25
6,10,9,44,4.875,0.25
6,10,9,38,4.875,0.125
5,2,106,65,5.0,0.25
6,10,9,55,5.125,0.25
6,10,9,44,5.125,0.25
6,10,9,38,5.125,0.125
5,2,106,63,5.25,0.125
6,10,9,35,5.25,0.125
5,2,106,63,5.375,0.125
6,10,9,44,5.375,0.125
5,2,106,60,5.5,0.25
6,10,9,55,5.5,0.25
6,10,9,44,5.5,0.25
6,10,9,38,5.5,0.125
5,2,106,58,5.75,0.25
6,10,9,44,5.75,0.125
6,10,9,35,5.75,0.125
6,10,9,38,5.75,0.125
6,10,9,44,5.875,0.125
4,1,35,41,6.0,0.25
5,2,106,63,6.0,0.25
6,10,9,69,6.0,0.25
6,10,9,49,6.0,0.5
6,10,9,35,6.0,0.125
7,4,48,75,6.0,0.25
4,1,35,29,6.25,0.25
5,2,106,62,6.25,0.25
6,10,9,69,6.25,0.25
6,10,9,46,6.25,0.25
6,10,9,55,6.25,0.25
7,4,48,74,6.25,0.25
4,1,35,29,6.5,0.25
5,2,106,58,6.5,0.25
6,10,9,49,6.5,0.25
6,10,9,69,6.5,0.25
6,10,9,38,6.5,0.125
6,10,9,35,6.5,0.125
7,4,48,70,6.5,0.25
4,1,35,31,6.75,0.25
5,2,106,58,6.75,0.5
6,10,9,69,6.75,0.25
6,10,9,46,6.75,0.25
7,4,48,70,6.75,0.5
6,10,9,55,6.7656,0.25
4,1,35,31,7.0,0.25
6,10,9,69,7.0,0.25
6,10,9,35,7.0104,0.125
4,1,35,38,7.25,0.25
5,2,106,63,7.25,0.5
6,10,9,69,7.25,0.25
6,10,9,46,7.25,0.25
6,10,9,55,7.25,0.25
7,4,48,75,7.25,0.5
6,10,9,49,7.5,0.25
6,10,9,69,7.5,0.25
6,10,9,38,7.5,0.125
6,10,9,35,7.5,0.125
4,1,35,32,7.75,0.25
5,2,106,62,7.75,0.5
6,10,9,69,7.75,0.25
6,10,9,46,7.75,0.25
6,10,9,55,7.75,0.25
7,4,48,74,7.75,0.5
4,1,35,32,8.0,0.25
6,10,9,69,8.0,0.25
6,10,9,35,8.0,0.125
4,1,35,39,8.25,0.25
5,2,106,63,8.25,0.25
6,10,9,69,8.25,0.25
6,10,9,46,8.25,0.25
6,10,9,55,8.25,0.25
7,4,48,75,8.25,0.25
4,1,35,44,8.5,0.25
5,2,106,65,8.5,0.25
6,10,9,49,8.5,0.25
6,10,9,69,8.5,0.25
6,10,9,38,8.5,0.125
6,10,9,35,8.5,0.125
7,4,48,77,8.5,0.25
4,1,35,46,8.75,0.25
5,2,106,70,8.75,0.25
6,10,9,69,8.75,0.25
6,10,9,46,8.75,0.25
6,10,9,55,8.75,0.25
7,4,48,82,8.75,0.5
4,1,35,46,9.0,0.25
6,10,9,69,9.0,0.25
6,10,9,35,9.0,0.125
4,1,35,41,9.25,0.25
5,2,106,70,9.25,0.25
6,10,9,69,9.25,0.25
6,10,9,46,9.25,0.25
6,10,9,55,9.25,0.25
7,4,48,82,9.25,0.25
4,1,35,34,9.5,0.25
5,2,106,70,9.5,0.25
6,10,9,49,9.5,0.25
6,10,9,69,9.5,0.25
6,10,9,38,9.5,0.125
6,10,9,35,9.5,0.125
7,4,48,82,9.5,0.25
4,1,35,35,9.75,0.25
5,2,106,70,9.75,0.25
6,10,9,69,9.75,0.25
6,10,9,46,9.75,0.25
6,10,9,55,9.75,0.25
7,4,48,82,9.75,0.5
4,1,35,36,10.0,0.25
5,2,106,70,10.0,0.25
6,10,9,69,10.0,0.25
6,10,9,35,10.0,0.125
4,1,35,31,10.25,0.25
5,2,106,68,10.25,0.25
6,10,9,69,10.25,0.25
6,10,9,46,10.25,0.25
6,10,9,55,10.25,0.25
7,4,48,80,10.25,0.25
4,1,35,30,10.5,0.125
5,2,106,67,10.5,0.25
6,10,9,49,10.5,0.25
6,10,9,69,10.5,0.25
6,10,9,38,10.5,0.125
6,10,9,35,10.5,0.125
7,4,48,79,10.5,0.25
4,1,35,31,10.625,0.125
4,1,35,26,10.75,0.25
5,2,106,70,10.75,0.5
6,10,9,69,10.75,0.25
6,10,9,46,10.75,0.25
6,10,9,55,10.75,0.25
7,4,48,82,10.75,0.5
4,1,35,26,11.0,0.25
6,10,9,69,11.0,0.25
6,10,9,35,11.0,0.125
4,1,35,34,11.25,0.25
5,2,106,63,11.25,0.25
6,10,9,69,11.25,0.25
6,10,9,46,11.25,0.25
6,10,9,55,11.25,0.25
7,4,48,75,11.25,0.25
4,1,35,33,11.5,0.25
5,2,106,63,11.5,0.25
6,10,9,49,11.5,0.25
6,10,9,69,11.5,0.25
6,10,9,38,11.5,0.125
6,10,9,35,11.5,0.125
7,4,48,75,11.5,0.25
